date,PHR,GVR,TRC,VNIndex
06/11/2019,56900,11425,25000,962.0700073242188
06/10/2019,58500,11524,25000,962.9000244140625
06/07/2019,58000,12312,25000,958.280029296875
06/06/2019,56500,12213,24500,948.2100219726563
06/05/2019,56600,12509,25000,951.4099731445313
06/04/2019,55000,11622,25000,951.1599731445313
06/03/2019,54000,11327,25450,946.469970703125
05/31/2019,55900,11721,25450,959.8800048828125
05/30/2019,58100,11622,23800,969.3400268554688
05/29/2019,58000,11819,23500,971.5399780273438
05/28/2019,62000,11327,23500,972
05/27/2019,61600,11327,23650,975.1400146484375
05/24/2019,59200,11228,23850,970.030029296875
05/23/2019,60000,11228,23900,982.7100219726563
05/22/2019,57600,11327,23950,983.780029296875
05/21/2019,58800,10834,23500,986.2899780273438
05/20/2019,59400,10440,23250,987.1300048828125
05/17/2019,55700,10440,22950,976.47998046875
05/16/2019,55700,10342,23300,975.6900024414063
05/15/2019,55400,10736,23250,975.6400146484375
05/14/2019,55500,10539,23900,965.3400268554688
